speed,distance_to_next_car,road_grade,acc_action
42,19,-0.2,maintain
74,44,0.01,accelerate
89,86,0.07,decelerate
59,65,-0.15,accelerate
96,19,-0.03,accelerate
62,45,0.09,accelerate
40,26,0.03,decelerate
67,26,0.21,accelerate
96,99,-0.04,decelerate
54,24,-0.18,decelerate
64,85,-0.22,maintain
70,20,0.02,accelerate
62,83,0.03,decelerate
55,55,-0.12,decelerate
48,60,0.26,accelerate
60,24,-0.07,accelerate
64,62,-0.23,accelerate
43,53,-0.05,decelerate
68,73,0.14,decelerate
67,30,-0.07,accelerate
95,94,0.22,maintain
94,59,-0.18,maintain
62,98,0.18,accelerate
41,17,0.07,accelerate
75,51,-0.04,accelerate
79,56,0.28,decelerate
70,31,-0.05,accelerate
96,14,0.14,accelerate
78,30,0.19,decelerate
43,37,0.25,decelerate
51,28,-0.07,decelerate
77,43,-0.27,maintain
58,99,0.23,maintain
44,52,0.03,accelerate
55,95,-0.13,accelerate
49,46,-0.08,maintain
91,49,-0.29,maintain
80,36,-0.3,decelerate
56,67,-0.22,accelerate
42,94,-0.16,maintain
77,17,-0.1,accelerate
93,70,0.15,decelerate
52,11,-0.03,accelerate
67,50,-0.04,maintain
78,9,-0.15,maintain
48,8,-0.06,decelerate
51,74,-0.17,decelerate
83,90,-0.26,maintain
74,70,0.05,maintain
94,94,-0.04,maintain
72,22,0.18,maintain
83,85,-0.13,decelerate
44,75,0.14,decelerate
71,78,0.22,maintain
45,70,0.06,decelerate
48,51,0.12,decelerate
43,15,-0.29,accelerate
70,8,-0.03,decelerate
61,45,-0.11,accelerate
54,67,-0.27,decelerate
92,16,-0.13,maintain
64,43,0.11,maintain
62,85,0.01,accelerate
71,17,0.07,maintain
47,48,0.06,decelerate
96,43,-0.11,accelerate
46,81,0.15,maintain
79,9,-0.27,accelerate
97,87,-0.18,maintain
74,28,-0.17,maintain
45,25,-0.08,accelerate
95,73,0.16,maintain
73,98,0.23,accelerate
41,83,-0.18,maintain
90,78,0.16,decelerate
80,43,-0.15,accelerate
89,57,-0.13,decelerate
87,64,-0.21,maintain
59,73,0.02,accelerate
73,86,-0.2,maintain
54,29,-0.03,maintain
87,34,-0.16,maintain
44,31,-0.06,maintain
74,7,0.14,maintain
97,40,-0.07,maintain
98,42,-0.26,decelerate
71,89,0.04,accelerate
69,93,0.18,decelerate
77,57,-0.07,decelerate
40,65,-0.21,maintain
83,44,-0.25,decelerate
45,34,-0.21,decelerate
72,21,-0.04,maintain
62,83,0.22,accelerate
74,44,-0.19,decelerate
90,88,0.22,maintain
97,69,0.28,maintain
62,38,0.24,decelerate
93,15,-0.17,accelerate
85,88,0.24,maintain
52,83,-0.16,decelerate
71,23,0.08,maintain
85,75,-0.08,decelerate
41,75,-0.15,maintain
88,33,-0.03,accelerate
91,60,0.12,maintain
43,42,-0.04,decelerate
69,98,0.25,accelerate
63,11,0.22,accelerate
60,17,0.03,accelerate
66,12,0.15,accelerate
68,83,-0.15,maintain
71,53,0.2,accelerate
72,94,-0.04,accelerate
91,19,0.02,maintain
44,77,0.1,maintain
55,37,-0.2,maintain
60,74,-0.21,decelerate
86,15,0.11,maintain
46,100,-0.06,decelerate
52,49,0.29,maintain
74,56,0.14,maintain
40,35,-0.05,accelerate
81,30,-0.13,maintain
46,74,-0.16,decelerate
68,86,-0.1,maintain
77,50,-0.2,accelerate
87,16,-0.15,decelerate
77,97,-0.2,accelerate
89,72,-0.11,maintain
67,71,0.12,maintain
59,56,0.28,accelerate
89,17,-0.0,decelerate
97,14,0.06,decelerate
61,18,-0.1,decelerate
42,40,-0.12,decelerate
89,58,0.12,accelerate
53,90,0.01,accelerate
63,45,-0.13,maintain
66,33,-0.03,decelerate
66,80,-0.12,decelerate
55,5,-0.04,accelerate
63,43,0.21,decelerate
64,46,-0.22,decelerate
90,64,0.15,decelerate
60,53,-0.1,maintain
46,64,0.26,maintain
65,70,0.15,decelerate
48,64,0.04,decelerate
47,43,0.22,maintain
63,24,0.08,accelerate
74,33,-0.12,decelerate
72,23,0.24,accelerate
51,30,-0.12,accelerate
98,52,-0.15,maintain
69,33,0.29,maintain
59,95,0.05,accelerate
92,46,0.29,accelerate
44,41,0.06,accelerate
69,13,0.3,accelerate
42,51,-0.16,accelerate
58,22,-0.03,decelerate
69,23,-0.16,decelerate
61,96,0.2,maintain
55,60,-0.1,maintain
67,74,0.18,maintain
45,75,-0.2,decelerate
52,57,0.22,accelerate
59,73,-0.0,accelerate
79,35,-0.2,accelerate
58,47,-0.1,accelerate
83,27,-0.18,decelerate
65,9,-0.25,accelerate
65,96,-0.09,maintain
47,82,-0.09,maintain
71,36,0.13,decelerate
86,57,-0.26,accelerate
57,20,-0.1,accelerate
57,39,-0.27,maintain
95,78,-0.07,maintain
87,92,-0.11,decelerate
67,30,0.1,maintain
86,97,0.07,accelerate
41,73,-0.13,accelerate
41,26,0.14,maintain
48,71,-0.14,decelerate
89,56,-0.2,maintain
63,11,-0.19,accelerate
58,7,0.17,decelerate
42,57,0.29,maintain
54,73,0.18,maintain
69,65,0.0,maintain
91,68,0.06,accelerate
80,97,0.03,maintain
79,89,-0.04,accelerate
63,50,-0.12,accelerate
48,20,0.08,decelerate
41,35,0.11,accelerate
95,64,0.04,maintain
90,69,0.26,decelerate
99,37,-0.13,decelerate
80,83,-0.15,accelerate
40,5,0.07,maintain
60,69,0.04,maintain
56,89,-0.29,maintain
54,35,-0.17,decelerate
68,38,-0.21,decelerate
99,86,0.21,decelerate
59,65,-0.26,accelerate
88,99,0.11,decelerate
68,18,-0.01,accelerate
82,77,0.27,accelerate
49,20,-0.07,decelerate
89,66,0.16,decelerate
50,61,0.18,maintain
50,19,-0.18,decelerate
76,99,0.18,accelerate
94,25,-0.08,accelerate
75,57,0.01,accelerate
41,89,-0.23,decelerate
49,98,-0.08,maintain
53,51,0.13,accelerate
44,42,0.11,accelerate
95,9,-0.06,decelerate
66,91,-0.12,decelerate
87,90,-0.14,maintain
91,6,-0.17,accelerate
51,65,0.2,decelerate
75,80,-0.11,accelerate
82,90,-0.23,decelerate
100,56,0.09,accelerate
69,88,-0.15,maintain
40,67,-0.08,maintain
43,87,-0.03,decelerate
42,33,-0.27,maintain
48,48,0.21,decelerate
47,22,-0.09,decelerate
76,31,0.07,accelerate
41,22,0.15,decelerate
93,86,0.14,maintain
51,74,-0.08,accelerate
100,8,0.3,maintain
42,19,-0.05,accelerate
88,79,-0.29,maintain
95,48,0.28,accelerate
83,80,0.02,accelerate
64,99,-0.04,decelerate
41,53,-0.03,maintain
57,56,-0.12,maintain
45,78,-0.17,decelerate
70,58,0.1,decelerate
45,76,0.15,decelerate
100,87,-0.13,decelerate
48,45,-0.12,decelerate
60,14,0.0,maintain
67,85,-0.13,maintain
79,78,0.19,accelerate
63,86,0.27,maintain
85,83,0.02,decelerate
97,93,-0.13,decelerate
95,13,-0.28,decelerate
43,69,0.05,decelerate
75,20,-0.03,decelerate
48,99,0.14,accelerate
41,90,-0.22,maintain
79,70,-0.19,accelerate
59,55,0.06,decelerate
78,27,0.22,accelerate
76,88,-0.15,accelerate
51,76,-0.25,accelerate
62,43,-0.26,decelerate
47,9,-0.02,accelerate
49,36,-0.03,decelerate
68,91,-0.3,decelerate
95,10,0.17,maintain
50,32,0.2,maintain
43,81,-0.29,maintain
47,22,0.21,maintain
74,33,-0.14,maintain
87,45,0.17,decelerate
90,90,0.02,decelerate
48,25,-0.01,decelerate
44,60,0.14,maintain
82,50,0.23,maintain
52,62,0.16,accelerate
86,13,0.23,maintain
87,53,0.11,decelerate
46,7,-0.12,maintain
53,13,0.08,decelerate
90,50,-0.11,maintain
73,55,-0.27,accelerate
61,70,-0.18,maintain
90,42,-0.29,maintain
40,9,0.16,decelerate
69,54,-0.15,accelerate
100,87,0.13,maintain
81,23,0.23,maintain
53,29,0.08,accelerate
61,12,-0.05,accelerate
42,36,-0.05,accelerate
99,89,0.19,decelerate
72,59,0.22,maintain
45,78,-0.23,decelerate
81,66,0.21,maintain
63,85,-0.15,maintain
51,96,0.27,accelerate
82,97,0.19,maintain
88,85,-0.04,decelerate
48,44,0.18,decelerate
46,11,-0.13,maintain
42,55,-0.05,decelerate
70,89,-0.17,maintain
50,86,0.25,maintain
68,58,-0.08,decelerate
61,72,0.28,maintain
46,13,-0.06,maintain
65,77,0.18,maintain
46,92,0.2,accelerate
53,23,0.02,decelerate
58,19,-0.1,accelerate
71,48,0.03,decelerate
90,21,-0.24,accelerate
91,45,0.03,decelerate
66,29,-0.14,accelerate
42,18,0.1,decelerate
48,5,0.13,maintain
56,69,-0.22,maintain
84,37,0.19,accelerate
89,39,0.25,maintain
45,86,-0.0,maintain
44,34,-0.16,decelerate
50,20,0.07,decelerate
64,23,-0.14,maintain
98,12,-0.28,decelerate
45,80,0.03,decelerate
88,9,0.19,decelerate
91,78,-0.19,accelerate
61,66,-0.28,decelerate
69,19,-0.26,accelerate
79,95,0.21,decelerate
62,92,0.23,accelerate
56,10,0.08,maintain
90,23,0.08,maintain
81,99,0.12,accelerate
93,58,-0.26,maintain
91,5,-0.23,maintain
56,32,0.07,accelerate
100,15,0.23,maintain
81,66,-0.14,accelerate
46,31,0.29,accelerate
73,8,0.24,decelerate
48,9,-0.21,decelerate
47,68,-0.19,maintain
93,58,0.08,maintain
92,97,-0.28,maintain
43,63,-0.26,decelerate
58,9,-0.28,accelerate
55,23,0.12,accelerate
85,44,-0.11,accelerate
42,57,-0.04,accelerate
71,56,-0.26,maintain
54,100,0.22,maintain
72,82,-0.26,accelerate
100,67,-0.01,decelerate
46,50,0.28,maintain
68,20,-0.16,accelerate
81,28,0.2,accelerate
89,63,-0.16,decelerate
99,73,-0.2,decelerate
51,29,-0.08,maintain
83,75,-0.1,accelerate
63,58,0.02,accelerate
42,77,-0.11,maintain
87,65,-0.19,decelerate
70,92,-0.22,accelerate
73,43,-0.19,decelerate
49,10,0.27,decelerate
60,47,0.21,accelerate
91,41,-0.02,maintain
41,65,-0.1,accelerate
81,33,-0.09,accelerate
45,18,0.29,decelerate
90,21,-0.26,accelerate
50,89,0.29,maintain
79,85,0.08,maintain
85,5,-0.03,accelerate
51,48,0.06,maintain
45,25,-0.16,maintain
56,17,0.27,maintain
81,19,0.03,accelerate
67,94,-0.3,maintain
55,43,0.08,accelerate
54,58,-0.18,accelerate
40,23,-0.29,maintain
69,67,-0.18,accelerate
46,47,-0.01,maintain
60,85,-0.24,decelerate
59,83,0.05,decelerate
60,24,-0.17,maintain
52,71,-0.24,decelerate
84,63,0.12,maintain
55,79,0.06,accelerate
81,19,-0.24,decelerate
44,9,-0.16,accelerate
100,62,0.02,maintain
98,97,-0.25,maintain
78,45,-0.26,decelerate
61,53,0.14,maintain
65,24,-0.21,accelerate
87,50,0.25,decelerate
90,34,0.0,decelerate
51,30,0.28,decelerate
59,20,-0.26,maintain
67,67,0.01,maintain
56,38,0.09,accelerate
98,41,-0.1,accelerate
85,72,-0.05,accelerate
61,63,-0.12,decelerate
73,91,-0.05,accelerate
50,74,-0.24,decelerate
84,31,0.12,decelerate
50,39,-0.04,decelerate
49,26,0.3,accelerate
53,75,0.18,maintain
47,44,0.22,decelerate
44,45,-0.14,maintain
50,84,0.28,accelerate
66,95,-0.19,accelerate
42,18,-0.08,maintain
76,56,0.1,decelerate
77,7,-0.05,decelerate
95,7,-0.14,accelerate
58,88,0.06,maintain
46,65,0.13,maintain
53,81,0.28,accelerate
70,26,0.19,accelerate
42,73,-0.18,maintain
74,24,0.11,accelerate
60,84,-0.26,accelerate
45,96,-0.25,accelerate
71,24,-0.16,maintain
81,33,-0.18,decelerate
48,58,0.27,decelerate
72,6,0.19,maintain
43,36,-0.19,maintain
93,25,0.19,maintain
81,99,0.1,decelerate
90,16,0.22,maintain
76,76,0.07,decelerate
75,64,0.01,decelerate
73,49,-0.04,maintain
41,66,0.13,accelerate
52,65,0.22,accelerate
99,50,-0.11,accelerate
79,8,0.09,maintain
95,73,0.15,decelerate
85,34,0.13,decelerate
83,58,0.12,maintain
86,96,0.06,maintain
43,99,-0.01,maintain
100,37,-0.26,accelerate
50,58,-0.04,maintain
72,46,0.06,accelerate
59,9,0.21,decelerate
73,84,0.04,maintain
92,76,0.07,decelerate
49,13,-0.04,decelerate
54,23,-0.12,accelerate
83,78,-0.04,maintain
44,24,-0.19,accelerate
82,31,0.28,maintain
64,31,0.28,decelerate
66,22,-0.09,accelerate
96,70,-0.22,decelerate
42,86,-0.23,accelerate
81,55,0.11,accelerate
45,12,-0.11,maintain
59,16,-0.12,maintain
48,33,0.15,decelerate
55,5,0.04,decelerate
70,66,-0.26,decelerate
98,77,0.26,accelerate
94,72,-0.07,maintain
88,67,-0.19,decelerate
93,81,-0.2,accelerate
55,75,-0.0,maintain
82,54,-0.02,decelerate
90,18,0.12,decelerate
54,20,-0.2,decelerate
62,58,0.16,maintain
91,73,-0.16,accelerate
82,97,0.23,accelerate
45,52,-0.24,accelerate
70,96,-0.02,decelerate
77,98,-0.16,decelerate
62,90,-0.29,maintain
86,53,-0.23,decelerate
57,18,0.18,maintain
45,78,0.21,decelerate
71,43,-0.19,decelerate
57,91,-0.25,maintain
90,32,-0.13,decelerate
67,85,0.02,maintain
40,55,-0.17,decelerate
71,20,-0.11,decelerate
99,91,-0.04,decelerate
50,66,-0.1,decelerate
59,76,-0.02,decelerate
45,85,-0.28,accelerate
95,57,0.22,decelerate
88,21,0.07,decelerate
100,92,-0.24,accelerate
68,63,-0.19,accelerate
59,100,-0.03,decelerate
58,91,-0.13,decelerate
63,77,0.03,decelerate
53,17,0.12,decelerate
53,41,0.17,maintain
65,39,-0.06,accelerate
76,57,0.24,decelerate
51,24,0.14,accelerate
74,30,-0.13,decelerate
69,32,-0.27,decelerate
41,20,-0.16,decelerate
67,7,0.12,accelerate
78,26,0.27,decelerate
64,13,-0.26,maintain
62,74,0.03,decelerate
83,62,-0.03,maintain
86,85,-0.18,accelerate
64,61,-0.25,accelerate
95,83,0.09,accelerate
64,92,-0.03,maintain
100,70,-0.01,accelerate
59,58,-0.1,accelerate
57,9,0.26,accelerate
84,49,-0.18,accelerate
80,46,-0.1,maintain
76,52,-0.15,maintain
52,52,-0.13,accelerate
70,14,0.21,accelerate
97,10,-0.09,accelerate
55,20,0.23,decelerate
97,51,-0.26,decelerate
96,58,0.14,maintain
51,100,0.19,accelerate
82,60,-0.04,decelerate
71,35,0.17,maintain
95,27,-0.29,maintain
99,18,-0.18,maintain
64,100,-0.06,decelerate
71,90,0.22,accelerate
60,97,-0.3,maintain
76,14,0.06,decelerate
55,27,0.23,accelerate
46,36,-0.18,accelerate
79,76,-0.26,maintain
62,96,-0.01,accelerate
100,16,0.17,decelerate
50,24,-0.17,decelerate
80,47,0.16,maintain
67,22,-0.27,decelerate
94,22,0.26,accelerate
90,30,0.17,decelerate
83,49,-0.17,maintain
50,77,0.13,maintain
82,48,0.19,maintain
100,35,0.1,accelerate
71,7,-0.01,maintain
96,23,-0.18,maintain
52,95,-0.1,maintain
51,75,-0.06,maintain
54,32,-0.11,accelerate
56,50,-0.28,maintain
55,11,0.15,maintain
61,81,0.05,maintain
84,92,-0.0,decelerate
55,70,-0.11,decelerate
99,70,0.16,decelerate
66,15,0.25,accelerate
42,62,0.29,accelerate
60,78,0.0,decelerate
72,41,-0.04,decelerate
45,72,-0.01,accelerate
58,73,-0.16,decelerate
97,59,0.21,maintain
53,89,-0.14,decelerate
78,43,0.02,maintain
81,46,-0.04,decelerate
86,59,0.19,decelerate
83,85,-0.22,maintain
90,33,0.09,maintain
71,54,0.21,maintain
78,68,0.11,maintain
79,51,-0.26,decelerate
50,87,0.02,decelerate
62,58,0.17,decelerate
47,47,0.22,decelerate
69,41,0.12,decelerate
67,68,0.0,maintain
69,98,0.11,maintain
40,34,0.03,decelerate
67,76,0.01,maintain
47,48,-0.26,maintain
62,6,0.09,maintain
69,55,0.03,maintain
59,96,-0.04,decelerate
41,23,-0.05,accelerate
93,15,0.27,maintain
56,49,-0.21,accelerate
93,38,-0.28,decelerate
97,6,-0.1,maintain
96,39,-0.24,accelerate
59,42,-0.26,accelerate
46,20,0.17,maintain
81,37,0.05,accelerate
45,97,0.0,maintain
63,60,0.12,accelerate
86,5,-0.01,decelerate
91,13,0.26,decelerate
47,19,0.15,decelerate
56,94,-0.27,maintain
43,85,-0.21,decelerate
43,74,-0.18,maintain
40,15,0.03,maintain
48,77,0.02,maintain
70,84,-0.16,decelerate
52,84,0.29,accelerate
77,33,0.18,decelerate
87,35,-0.09,decelerate
72,35,-0.05,decelerate
66,31,-0.3,maintain
55,90,0.19,maintain
65,80,-0.14,accelerate
62,17,-0.16,accelerate
82,71,-0.24,accelerate
67,21,0.14,accelerate
46,98,0.02,accelerate
96,85,0.24,accelerate
70,47,-0.21,maintain
46,66,0.04,accelerate
62,71,0.16,maintain
47,92,0.07,decelerate
63,69,0.25,accelerate
99,5,0.1,maintain
90,63,0.26,accelerate
70,15,0.08,decelerate
70,41,-0.12,decelerate
71,12,-0.01,decelerate
58,86,-0.11,accelerate
73,19,-0.16,accelerate
68,8,-0.05,maintain
73,53,-0.27,decelerate
91,85,0.08,accelerate
87,91,0.07,accelerate
56,92,0.11,accelerate
77,23,0.03,accelerate
71,16,0.07,maintain
98,12,0.15,accelerate
85,37,0.2,decelerate
73,73,-0.29,accelerate
68,97,0.01,accelerate
51,58,0.14,maintain
76,49,0.16,accelerate
59,84,0.18,accelerate
79,34,0.22,accelerate
66,86,0.25,decelerate
57,94,-0.16,accelerate
93,87,-0.1,maintain
93,93,-0.09,accelerate
80,65,-0.05,maintain
65,69,0.17,decelerate
51,83,0.24,decelerate
83,25,-0.26,maintain
69,50,0.2,decelerate
80,55,0.25,maintain
46,93,-0.03,accelerate
67,99,-0.02,decelerate
67,81,0.25,accelerate
52,49,0.28,maintain
71,19,-0.06,maintain
41,10,-0.01,maintain
95,90,-0.27,decelerate
75,19,0.11,decelerate
64,45,0.17,decelerate
62,30,0.14,maintain
100,25,-0.06,accelerate
87,43,-0.03,maintain
80,43,-0.1,decelerate
70,76,0.03,maintain
92,23,-0.02,decelerate
44,37,-0.05,decelerate
84,63,0.17,maintain
69,51,-0.29,maintain
54,38,-0.06,maintain
66,57,0.01,maintain
93,53,0.1,accelerate
45,91,-0.0,decelerate
83,35,0.19,maintain
49,85,-0.03,maintain
72,73,0.24,maintain
61,36,0.27,decelerate
62,21,-0.29,maintain
81,53,-0.27,decelerate
53,100,-0.24,accelerate
40,34,0.09,maintain
66,10,0.19,decelerate
86,88,0.21,decelerate
83,6,0.08,accelerate
71,54,-0.04,decelerate
51,90,-0.2,decelerate
71,75,0.25,accelerate
77,96,-0.09,maintain
70,74,-0.06,maintain
46,73,0.08,accelerate
80,89,-0.24,accelerate
54,17,0.07,maintain
52,35,0.14,accelerate
92,40,0.2,decelerate
83,38,-0.14,maintain
98,5,0.05,accelerate
81,48,0.17,maintain
79,87,-0.15,decelerate
43,5,-0.23,maintain
66,87,0.12,decelerate
100,62,-0.04,accelerate
66,89,0.27,decelerate
97,73,0.07,decelerate
95,17,-0.14,maintain
55,85,-0.23,maintain
48,56,-0.16,decelerate
86,95,0.29,maintain
97,44,-0.17,decelerate
69,90,-0.21,accelerate
82,55,-0.04,maintain
95,47,0.07,decelerate
99,66,0.09,accelerate
